id,CROP_ID,CROP,input_level,SQI_code,PSCL,PSCL_ID,DrainNum,Drain,score,drainage_id,drainage_req_text
204,4,Maize,1,4,C,1,1,V,10,LI_DR1_TXT1,Coarse textures - Drainage level Very Poor
205,4,Maize,1,4,C,1,2,P,50,LI_DR2_TXT1,Coarse textures - Drainage level Poor
206,4,Maize,1,4,C,1,3,I,90,LI_DR3_TXT1,Coarse textures - Drainage level Imperfectly
207,4,Maize,1,4,C,1,4,M,100,LI_DR4_TXT1,Coarse textures - Drainage level Moderately well
208,4,Maize,1,4,C,1,5,W,100,LI_DR5_TXT1,Coarse textures - Drainage level Well
209,4,Maize,1,4,C,1,6,S,100,LI_DR6_TXT1,Coarse textures - Drainage level Somewhat excessive
210,4,Maize,1,4,C,1,7,E,100,LI_DR7_TXT1,Coarse textures - Drainage level Excessive
211,4,Maize,2,4,F,3,1,V,10,II_DR1_TXT3,Fine textures - Drainage level Very Poor
212,4,Maize,2,4,F,3,2,P,50,II_DR2_TXT3,Fine textures - Drainage level Poor
213,4,Maize,2,4,F,3,3,I,90,II_DR3_TXT3,Fine textures - Drainage level Imperfectly
214,4,Maize,2,4,F,3,4,M,100,II_DR4_TXT3,Fine textures - Drainage level Moderately well
215,4,Maize,2,4,F,3,5,W,100,II_DR5_TXT3,Fine textures - Drainage level Well
216,4,Maize,2,4,F,3,6,S,100,II_DR6_TXT3,Fine textures - Drainage level Somewhat excessive
217,4,Maize,2,4,F,3,7,E,100,II_DR7_TXT3,Fine textures - Drainage level Excessive
218,4,Maize,2,4,M,2,1,V,10,II_DR1_TXT2,Medium textures - Drainage level Very Poor
219,4,Maize,2,4,M,2,2,P,50,II_DR2_TXT2,Medium textures - Drainage level Poor
220,4,Maize,2,4,M,2,3,I,90,II_DR3_TXT2,Medium textures - Drainage level Imperfectly
221,4,Maize,2,4,M,2,4,M,100,II_DR4_TXT2,Medium textures - Drainage level Moderately well
222,4,Maize,2,4,M,2,5,W,100,II_DR5_TXT2,Medium textures - Drainage level Well
223,4,Maize,2,4,M,2,6,S,100,II_DR6_TXT2,Medium textures - Drainage level Somewhat excessive
224,4,Maize,2,4,M,2,7,E,100,II_DR7_TXT2,Medium textures - Drainage level Excessive
225,4,Maize,2,4,C,1,1,V,10,II_DR1_TXT1,Coarse textures - Drainage level Very Poor
226,4,Maize,2,4,C,1,2,P,50,II_DR2_TXT1,Coarse textures - Drainage level Poor
